superconductors,measured_Tc,materials_family
Sn0.576Pb0.384In0.04Te1,0.4,others
Ir0.63Os0.27Rh0.1,0.4,others
Pt0.15Ta0.85,0.4,others
Pd0.015Ru0.985,0.4,others
Ge1Pt1,0.4,others
Pd2Sn1,0.41,others
U1Pt2.994Pd0.006,0.41,heavy-Fermion
Ir0.036Ru0.964,0.41,others
Ir0.85W0.15,0.41,others
W1F0.44O2.56,0.41,others
Pd1Sn1,0.41,others
U0.9535Th0.0465Be13,0.415,heavy-Fermion
Bi1.1Nb1S3.1,0.415,others
Sn0.504Ge0.336In0.16Te1,0.42,others
W1F0.41O2.59,0.42,others
Ce1Pd2Si2,0.421,heavy-Fermion
U1Co1Ge0.94Si0.06,0.423,heavy-Fermion
Ce1Ir0.956Pt0.044In5,0.429,heavy-Fermion
Ni0.5V0.16Zr0.34,0.43,others
Zr1Ni1.5V0.5,0.43,others
Pt0.014Ru0.986,0.43,others
Au0.855Sn0.145,0.43,others
Au0.865Sn0.135,0.435,others
B12Lu1,0.435,heavy-Fermion
Ni0.007Ru0.993,0.44,others
As0.5In1Te0.5,0.44,others
Pt1Th1,0.44,heavy-Fermion
La0.5Ce0.5Ru2,0.449,others
Ce1Ge2Rh1,0.45,heavy-Fermion
Ge0.92Ga0.08,0.45,others
Bi1Co1,0.455,others
Ce1Ni1Ge3,0.455,heavy-Fermion
Sr2Ru0.99875Ti0.00125O4,0.46,others
Y1Ni1Ge3,0.46,others
Ir0.125Os0.375Rh0.5,0.46,others
Au1Zr3,0.46,others
As1Pd5,0.46,others
U0.9545Th0.0455Be13,0.46,heavy-Fermion
Ce1Co1.67Ni0.33,0.46,heavy-Fermion
Os1Ti1,0.46,others
K1Ni2S2,0.46,others
Er2Fe3Si5,0.465,heavy-Fermion
Ce1Ru0.1Co1.9,0.47,heavy-Fermion
Ce1Co1.67Rh0.33,0.47,heavy-Fermion
O0.86Ti1,0.47,others
Cu0.2Zn0.8Ir2S4,0.47,others
Os0.333Ru0.667,0.47,others
Ce1Pt2.82Ni0.18Si1,0.473,heavy-Fermion
