,measured_Tc,materials_family
Y2La0.6Ba3.4Cu6O14.02,60.0,cuprate
Bi2Y3,2.25,others
La5Ru2,2.35,heavy-Fermion
La1Zn1,1.04,heavy-Fermion
Tl2Ba2Ca5Cu6O16,120.0,cuprate
V0.5Sr2.7Ca2.3Cu4.5O11.6,107.0,cuprate
Bi4Sr4Ca1.8Tm0.2Cu4O16.38,83.9,cuprate
Bi4Te3,3.5,others
Bi4Sr3Ca1.5Y1.5Cu4O16,86.1,cuprate
Hg1Tl1Ba2Ca3Cu4O12,110.0,cuprate
Bi4Sr4Ca1.5Tm0.5Cu4O16.5,84.3,cuprate
Bi4Sr4Ca0.5Tm1.5Cu4O16.91,1.5,cuprate
Bi5Tl3,6.4,others
Bi8Sr5Ca7Cu9O34.94,74.4,cuprate
Bi8Sr8Ca4Cu9O34.16,94.2,cuprate
Bi8Sr6Ca6Cu9O33.912,85.0,cuprate
Br2,1.4,others
Nb0.25Sn0.25Ta0.5,10.8,others
Mo0.3Nb0.1Re0.6,10.1,others
Co0.44Mo0.56,13.0,others
C0.46W0.54,9.0,others
Y1Ca1Ba4Cu5N0.3C0.7O14,82.0,cuprate
Cu0.5C0.5Ba2Ca3Cu4O11,117.0,cuprate
C0.6Mo4.8Si0.3,7.6,others
Cu0.5C0.5Ca3Cu2O6.6,57.0,cuprate
Hg0.85Re0.15Ba2Cu1O4.525,96.3,cuprate
La1.48Pr0.37Sr0.15Cu1O4,34.0,cuprate
Y1.4Th0.6C3.1,17.0,others
Y1.4Th0.6C2.4,15.4,others
La5B2C6,6.9,heavy-Fermion
C13La1,4.8,others
C14H10Sr1.5,5.6,others
Th1Ir1Si1,6.5,heavy-Fermion
C1Os2W3,2.9,others
C1S1,9.0,others
C22H14K3.3,18.0,others
Rb2.7Tl2.2C60,23.2,others
C2Pt1U2,1.47,others
Y2C2.9B0.1,16.4,others
Y0.47Er0.53Rh4B4,9.5,heavy-Fermion
Er0.46Ho0.54Rh4B4,7.32,heavy-Fermion
C60Ca5,8.4,others
C60Rb4,29.0,others
C60Sr4,4.4,others
C60Tb2.75,5.4,others
C60Yb2.75,3.8,others
C60Yb3.5,6.0,others
C6Ca1,11.302999999999999,others
C6I4O2,0.8,others
C70,7.0,others
C8K1,0.30475,others
K1Tl1.5C8,2.45,others
Hg1Sm1Pb2,5.9,heavy-Fermion
Rb1Cs2C60,33.0,others
Nd1Ba2Cu3O7.16,95.3,cuprate
Pr1Ba2Cu3O6.8,81.0,cuprate
Ca10Pt4.6Fe9.4As18,22.5,iron-based
Ca0.92La0.08Fe8.6Pd4.2As18,13.5,iron-based
Ca1.65Na0.35Cu1Br2O2,18.0,cuprate
Ca10Bi9.88,2.075,others
Ca10Fe8.2Pt4.8As18,38.0,iron-based
Ca10Ir4Fe10As18,17.35,iron-based
Ca10Pt0.78Fe9.22As18,9.96,iron-based
Ca10Pt5.8Fe8.2As18,33.65,iron-based
Ca14Cu24O40.93,8.0,cuprate
Sr0.4Ca13.6Cu24O41.84,10.0,cuprate
Nb3Si1Sn1V3,4.0,others
Ga0.5Mo5S6Sn1,13.3,others
Ca1Fe2.94Co0.06As2,17.0,iron-based
Hg3Zr1,3.28,others
Hg5Tl2,3.86,others
Ir2Nb3,9.8,others
K3N1H3C60,28.0,others
Lu1Ni0.91Co0.18B2C1,8.8,heavy-Fermion
Rb1Eu1Fe4As4,36.5,iron-based
Pu1Co0.1Rh0.9Ga5,10.2,heavy-Fermion
